,Trip ID,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,icon,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Pickup Centroid Latitude,Pickup Centroid Longitude,day,temp range
32,b040366e878f6db9303f65eb795709a5dd88105c,10:15:00,Overcast,0.0,0.0,17.12,9.06,5.48,cloudy,47e67af9774fb979a832830a5126c982f48d24f347f6b9b25beb1bbb882c855528c1992039e2f87a58e32894a7e5b106f58975053e94d085e2efe5b05d7b6ace,2016-12-16T10:15:00,12/16/2016 10:15:00 AM,529.0,3.55,6.0,11.75,0.0,0.0,0.0,11.75,Cash,41.943155086,-87.640698076,2016-12-16,17.12
33,c0d11d5d9a450465a4e40ef6dd13b1d04576096c,06:30:00,Clear,0.0,0.0,43.17,39.64,5.84,clear,ebceb13997c9b897ffb47cbed8248f9a3de1c432e03f3176b7747c3cf4c733fd4e6726685a17a1691a835625a62d24ae136193b83da13af02ba8be25f270eba2,2016-03-17T06:30:00,03/17/2016 07:00:00 PM,1380.0,6.8,32.0,19.75,3.95,0.0,0.0,23.7,Credit Card,41.878865584,-87.625192142,2016-03-17,43.17
34,b8352cf7e1c98523aff8571d933629fb7204f705,09:15:00,Overcast,0.0,0.0,25.78,21.07,3.86,cloudy,3c0161e62a7344b442d21a208d41053ee0bf1470d74cbdb2b86d1447f4eef3381822255acbc686e6c81f80ae2481ae6eefc6923a19e5f464cca1f9fb771a7714,2014-12-11T09:15:00,12/11/2014 09:45:00 PM,1620.0,13.0,8.0,28.45,8.54,0.0,0.0,36.99,Credit Card,41.899602111,-87.633308037,2014-12-11,25.78
35,b078c1d58119d329ac5e956e9f6ef15ae9720995,05:00:00,Overcast,0.0,0.0,52.13,52.13,4.94,cloudy,db0763db8da1aee92628f7b0111bf1a6a8db4c8d06eb5c9bb50a7f8225af73d10c59a906d17f42a7b8f9f438f82ace6ce0617b4e153cdc8388027ce89584e0bd,2014-09-30T05:00:00,09/30/2014 05:15:00 PM,960.0,3.2,33.0,11.05,2.75,0.0,0.0,13.8,Credit Card,41.859349715,-87.617358006,2014-09-30,52.13
36,b69950cd09a4adf4a2791f12582c9d8b4cebc765,06:45:00,Light Rain,0.0218,0.79,53.18,53.18,4.09,rain,6775020216ff4fd219bc6c63d4dcac611945dc862e64789054200b735a6986a928ce10460b97e2d1da47dcf411ae59d1b7a5e14d421cdb8014d4981b77eea741,2017-05-24T06:45:00,05/24/2017 07:00:00 PM,900.0,0.1,32.0,9.5,0.0,0.0,0.0,9.5,Cash,41.880994471,-87.632746489,2017-05-24,53.18
37,b25304dd406b729dae623ad3a2fc200078a3634a,12:15:00,Overcast,0.0,0.0,39.81,37.02,4.09,cloudy,fbc032d9047aba1348486e8f2a4934257f9308801053a7bf8a0bccb50cd80978e416199ceb3f173c37b42fd502a075fa3a737f1c443c01b33dccc1320e48062e,2016-11-24T12:15:00,11/24/2016 12:30:00 PM,420.0,1.6,32.0,7.25,0.0,0.0,1.0,8.25,Cash,41.880994471,-87.632746489,2016-11-24,39.81
38,b57cb64b7cab6e2bde29af0e6c3288f951ed0e97,07:30:00,Mostly Cloudy,0.0,0.0,47.15,47.15,2.26,partly cloudy,cc8f230b24e9098a39f506adf44493b78a527aa604e9360bbd5b50628a067471bfaac013b1bfcb5bdb505fb7bc502799c6b06d907a8acc28e265898ca845f09e,2016-05-18T07:30:00,05/18/2016 07:45:00 PM,720.0,3.2,32.0,11.25,2.0,0.0,0.0,13.75,Credit Card,41.880994471,-87.632746489,2016-05-18,47.15
39,c08006d94ff29479e085c322deef2b532d9535e7,08:15:00,Overcast,0.0,0.0,48.01,44.8,6.98,cloudy,4aafe0ae7158e66dd0bcabf4f7b549e8a71e2e91b6031d8fc641358107ae79b70d542618ef66e4f30ad59d6f94c9bff1b81fdc1d93d205ec62219e0deb770479,2013-11-16T08:15:00,11/16/2013 08:30:00 PM,600.0,0.16,32.0,7.25,1.0,0.0,2.0,10.25,Credit Card,41.884987192,-87.620992913,2013-11-16,48.01
40,b8f83eb8d973427faf081f047d640a39a4031a22,11:15:00,Overcast,0.0,0.0,71.51,72.25,4.52,cloudy,c682091bf3915287aff7c0228e34cd45b65c25bc17f08725a8bbd842dbc9ab1a31b0eaaba18857fb1f397810d4d76c2c8c053f95ec3b2ba0b6e05a65eb904692,2013-05-28T11:15:00,05/28/2013 11:30:00 AM,960.0,0.2,24.0,12.05,0.0,0.0,0.0,12.05,Cash,41.901206994,-87.676355989,2013-05-28,71.51
41,be236d259d46f7a1e76031092cde2e7d6310ca22,07:00:00,Clear,0.0,0.0,68.77,68.77,3.74,clear,ba425fcbccec45272990eb263a054de4c5bf8b2633c81252e1f180968e54f072b50592c1468e08e0cfdb68d6edf5825f88f3a3698643cb399f703d653b588c15,2015-07-30T07:00:00,07/30/2015 07:15:00 PM,720.0,2.2,8.0,8.25,2.0,0.0,0.0,10.25,Credit Card,41.892072635,-87.62887415700001,2015-07-30,68.77
42,b1933b397c5d96a29703d9426c6e64f36162082f,11:15:00,Clear,0.0,0.0,76.29,76.29,3.59,clear,65c253eb76991d16eb75df5452fd9ee36925972c14b6158db241c4fc059c5740554590ecf330461daae18dae4695af51a180e4f03e87bde653aa79a3110a1960,2013-07-11T11:15:00,07/11/2013 11:15:00 PM,540.0,0.0,8.0,7.05,0.0,0.0,1.0,8.05,Cash,41.898331794,-87.620762865,2013-07-11,76.29
43,b9108e79dc20024e6d9513e6304ab8065f1a1112,07:30:00,Partly Cloudy,0.0,0.0,66.74,67.29,1.16,partly cloudy,ac1045ae61a5226a9216bd9641b458bd9d7e7da0680adabf38cde51c48f449b42c149b7ef2bb2c9c41b1f8ec44d7e26e6b0f34566ddffa186e2f2ceddf8842cd,2016-09-20T07:30:00,09/20/2016 07:45:00 AM,1380.0,5.2,76.0,17.75,0.45,0.0,0.0,18.7,Credit Card,41.97907082,-87.90303966100002,2016-09-20,66.74
44,b3908ed9a7868cf705b88f82a8f18db86e865456,07:00:00,Mostly Cloudy,0.0,0.0,41.3,41.3,2.97,partly cloudy,82b3cdd5efb2e58630d37509a78a0ae5a304518903d92428ae41e60893e5b73e0ad5cd2c85a4bbeb9fbf7a0098c5e6174ee52044e1c1befcd3627cc6fcb10331,2014-10-05T07:00:00,10/05/2014 07:00:00 PM,300.0,1.0,32.0,5.65,0.0,0.0,1.0,6.65,Cash,41.884987192,-87.620992913,2014-10-05,41.3
