,Trip ID,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,icon
1150,b311d1c68136f255fd083d3216fe97190ea0111e,2015-01-10T02:15:00,Clear,0,0,0.69,-6.53,3.2,clear-night
1151,ba2e56dcc1f2e8c6efec630896477efbcdc3bcce,2014-06-15T05:00:00,Clear,0,0,62.9,62.9,3.36,clear-night
1152,ba3160db310f7bec23f8d53f8e8de1363a50bbf5,2014-09-11T08:00:00,Overcast,0,0,50.64,50.64,4.12,cloudy
1153,bb819be3682cf7c6ea384accaa3fdcce692d69bd,2013-07-18T04:30:00,Humid,0,0,78.91,82.09,0.74,clear-night
1154,c2b2c6580564bc7e3e9bde9f4b6de29822b092f8,2013-11-18T05:00:00,Clear,0,0,39.07,33.23,8.44,clear-night
1155,bdbc0856bf23ce9434172b29b03348bd1000e6a0,2013-05-25T11:15:00,Overcast,0,0,51.65,51.65,0.68,cloudy
1156,c1aea0368c103bd6eaf9fdb677403c4d873c9fdf,2014-05-17T09:00:00,Partly Cloudy,0,0,49.69,49.69,2.51,partly-cloudy-day
1157,c0123ab51cd242a1939d507a33f6006d5f1c8048,2015-07-09T07:00:00,Foggy,0,0,59.09,59.15,2.78,fog
1158,b90d532a8ded76338b0b17e04a057426447467b5,2014-11-29T03:15:00,Clear,0,0,33.01,28.44,4.81,clear-night
1159,c32b342af63894aa19566b5e5d4d4b068217a0d8,2013-06-15T01:15:00,Partly Cloudy,0,0,58.73,58.73,0.15,partly-cloudy-night
1160,c3b228527a455a05155316d7f82e5aadb1f5ac0e,2013-11-05T08:00:00,Overcast,0,0,51.87,51.87,2.48,cloudy
1161,c1edb9f15c9d0ce58aa980e49830d7dfc679eef5,2015-06-06T10:15:00,Clear,0,0,65.24,65.24,2.83,clear-day
1162,b67b2867e61e9f71e4e7f99467c07604865a7dce,2015-09-22T01:30:00,Clear,0,0,58.74,58.74,0.74,clear-night
1163,b6d87558cda096fb96cc324fdb1fca9bc302ad08,2016-08-03T11:15:00,Clear,0,0,86.13,90.43,2.3,clear-day
1164,b6a78569e5a1f07e574d30b8ee98d2a029255a9f,2015-04-17T10:15:00,Partly Cloudy,0,0,69.94,69.94,2.69,partly-cloudy-day
1165,b3d7df494115ece34c433b9e47b58186142f72cd,2014-09-07T09:45:00,Clear,0,0,70.22,70.22,0.18,clear-day
